"Step","centralized_office_home_epochs_200 - train/loss","centralized_office_home_epochs_200 - train/loss__MIN","centralized_office_home_epochs_200 - train/loss__MAX"
"98","34.90549553765191","34.90549553765191","34.90549553765191"
"99","35.10960218641493","35.10960218641493","35.10960218641493"
"100","35.0382923550076","35.0382923550076","35.0382923550076"
"101","35.087849934895836","35.087849934895836","35.087849934895836"
"102","34.81037902832031","34.81037902832031","34.81037902832031"
"103","34.90875032212999","34.90875032212999","34.90875032212999"
"104","35.0505256652832","35.0505256652832","35.0505256652832"
"105","34.83762995402018","34.83762995402018","34.83762995402018"
"106","34.888664669460724","34.888664669460724","34.888664669460724"
"107","34.88057496812608","34.88057496812608","34.88057496812608"
"108","34.85992177327474","34.85992177327474","34.85992177327474"
"109","34.81650967068143","34.81650967068143","34.81650967068143"
"110","34.75068706936307","34.75068706936307","34.75068706936307"
"111","34.82968521118164","34.82968521118164","34.82968521118164"
