tsne_data_agent_2
tsne_dim_1,tsne_dim_2,label
14.2090645,18.702087,4
18.916746,9.131147,4
12.695884,7.661913,4
14.659167,14.76615,4
19.349598,2.1850073,4
21.69214,10.004627,4
10.364063,11.625848,4
-19.523283,9.576813,4
15.775623,19.500795,4
11.93333,8.278395,4
16.501318,15.015232,4
12.135643,18.324192,4
18.512941,16.722675,4
4.621703,15.259486,4
17.929728,16.96126,4
10.88312,21.311253,4
11.113014,18.172695,4
13.725181,-6.117991,4
13.010943,20.538656,4
16.55033,8.035325,4
20.74587,7.7242417,4
13.371704,10.598028,4
15.72213,17.32726,4
17.773474,13.51274,4
15.492006,-5.698714,4
17.364935,-4.2452917,4
16.926939,11.728011,4
13.262752,-10.861942,4
11.578375,19.326458,4
11.595422,15.928202,4
13.459723,16.898571,4
13.800834,-11.143458,4
-4.4331694,-6.8321776,4
14.348902,-11.107967,4
16.984022,14.373958,4
2.0575159,-0.54745257,4
14.343167,10.080589,4
22.407232,9.180238,4
10.677186,11.112842,4
15.242887,12.638941,4
14.835694,15.70642,4
12.849655,-10.041919,4
16.922722,-3.6469479,4
14.014448,-6.3160152,4
13.571283,9.835235,4
10.181419,18.667212,4
14.346635,18.193861,4
15.882781,11.875013,4
-17.07435,10.492859,4
15.810906,10.535584,4
16.897745,-1.756256,4
13.795487,19.60381,4
11.145639,12.774951,4
15.027615,21.02932,4
14.345122,12.296712,4
15.309044,10.332611,4
7.425277,-7.2331834,4
14.975582,-3.4683747,4
16.270891,-3.8844035,4
14.412137,-9.42357,4
10.102991,10.957395,4
12.799557,16.437447,4
16.914818,4.936296,4
11.623448,16.65061,4
11.197628,20.604988,4
14.275118,-10.263879,4
7.2400107,-6.7866716,4
8.949584,11.51864,4
15.469245,21.59165,4
12.1721525,9.548684,4
-10.08793,8.183286,4
9.387018,16.811594,4
10.411035,16.951883,4
21.375774,7.1445746,4
15.23069,19.483122,4
17.571245,12.154702,4
14.783877,9.300385,4
15.590238,-1.8981227,4
9.017912,18.094889,4
13.819179,-3.7834654,4
19.459993,10.842363,4
12.832696,13.234253,4
16.578957,17.856062,4
12.69591,17.240112,4
-8.845093,-2.459866,5
3.4673452,-16.921923,5
-9.774308,-7.964065,5
-19.444887,-1.2370762,5
-8.662529,-0.2369222,5
1.7074059,-8.764606,5
21.672169,4.2343726,5
2.9757414,-7.881724,5
-19.905005,-0.8535154,5
19.850586,-6.3275127,5
-11.747709,-11.373597,5
3.106984,-7.013054,5
0.5730986,-14.425629,5
-9.020556,-9.632579,5
-13.121911,-3.9182599,5
-20.77149,-3.54298,5
-10.877752,-5.2472553,5
-3.1157742,-1.4928901,5
-9.887684,-12.835259,5
-20.856588,-4.7309675,5
-13.877783,-6.2985277,5
-4.7230234,-11.819605,5
-10.03918,-10.420226,5
-7.5718274,-1.3250146,5
-10.168654,-3.168941,5
-13.790139,-8.97852,5
-8.546123,-1.7129999,5
-22.755032,0.5017543,5
-12.99058,7.544863,5
-6.82498,-3.049573,5
-9.42169,-3.060541,5
-8.547298,-4.8857217,5
-4.5450635,-1.4208963,5
-8.372311,3.6272721,5
-8.944218,-9.511743,5
-11.59704,-6.208027,5
-19.26053,1.351446,5
-6.1319237,-11.652827,5
-1.749194,-9.501946,5
-12.685836,-13.324631,5
-12.030984,-4.570548,5
-6.2779593,-4.032203,5
-23.908623,4.086047,5
3.1949465,-8.979592,5
-16.451668,-6.391341,5
-19.503319,-3.031031,5
1.6342871,-17.671309,5
-12.529345,-11.007364,5
-12.009064,-3.868014,5
22.223057,6.1742306,5
-16.401575,-2.009376,5
12.156281,-2.3565114,5
-10.362064,-8.936587,5
-20.276321,2.640757,5
5.4744177,-17.334696,5
1.3433831,-0.39738643,5
-21.835758,-1.9378527,5
4.053448,-18.04183,5
-12.451264,-7.1915,5
-1.5196992,-19.598566,5
-11.719264,-9.231873,5
-12.745522,-9.313992,5
-12.238694,-11.82294,5
-10.846794,-3.8464875,5
-19.067198,-2.4544115,5
-24.428385,-0.019341165,5
5.6367173,-14.976071,5
-13.01343,-10.319691,5
-9.236025,1.2850561,5
2.949474,15.163685,5
-19.435778,1.44292,5
-23.007053,24.352478,5
-7.4145803,-17.38013,5
-20.059767,0.5807855,5
18.355555,3.813845,5
-11.975684,-7.2094293,5
-4.2138195,-12.6468935,5
-24.034437,1.6717829,5
6.8054004,9.953853,6
-17.896906,-9.645997,6
-23.268576,2.2719748,6
