tsne_data_agent_0
tsne_dim_1,tsne_dim_2,label
-4.1640925,-12.792403,4
-1.05508,-6.4260435,4
21.801502,9.277554,4
-7.629613,-20.603025,4
-9.492146,-6.198587,4
2.3696182,-22.668808,4
1.5282044,-19.477123,4
-9.130429,-19.181316,4
13.26262,-7.1043816,4
-5.8897967,-23.798723,4
6.464932,-22.28869,4
-0.07513334,-19.231236,4
-12.956523,-7.727911,4
-4.7506857,-24.000824,4
-5.008404,-8.693258,4
-5.534377,-11.526906,4
-10.516987,-6.371211,4
-7.358749,-17.890951,4
0.09041465,-21.738493,4
-13.4339695,-5.335957,4
-17.021164,-5.983792,4
-3.4254375,-16.143845,4
-13.738211,-2.1711943,4
-5.475958,-19.969437,4
-6.3247194,-19.820795,4
1.3574047,-18.563358,4
-14.07139,-2.7296247,4
4.7508664,2.1491506,4
-13.483576,-3.444706,4
-0.38915762,-20.846994,4
-5.815973,-8.273105,4
-5.773244,-17.100023,4
-7.2117968,-13.505849,4
-2.0428138,-6.864144,4
-10.978985,-15.239149,4
-0.69424045,-23.009026,4
-11.888443,-3.628088,4
-16.92824,-5.2630196,4
-11.450391,-2.490297,4
-7.159837,-16.974236,4
2.3286169,-20.505194,4
-3.6599565,-22.659393,4
-0.6662773,-17.83034,4
7.6117764,-21.7778,4
-4.5505414,-17.756413,4
-12.687488,-11.490818,4
-2.1537652,-22.91775,4
0.568987,-7.830301,4
-6.3690286,-22.357973,4
-1.0673004,-10.3287735,4
-4.8372283,-17.057423,4
-3.808729,7.1198206,4
-17.298208,-2.7281187,4
-18.499743,-3.2450533,4
-15.577691,-2.7408879,4
-8.217448,-4.774832,4
-1.2287719,-18.692656,4
-13.581408,-13.772577,4
-2.9001987,-21.110813,4
6.2945232,-22.081823,4
-14.935077,-2.737362,4
-3.202764,5.964913,4
-8.992819,-15.294385,4
-7.255425,-21.591421,4
-2.4413915,-9.529179,4
6.349496,-0.8089444,4
3.4851544,-21.21015,4
2.4572093,-21.070808,4
-5.700855,-11.7561245,4
-3.894407,-19.917385,4
-3.886971,-14.545629,4
-10.368931,-14.791991,4
-12.763112,-8.548508,4
3.4100702,-20.481157,4
-15.672235,-6.644093,4
-4.208424,-12.3194475,4
0.53454953,-17.175432,4
-2.1342814,-23.350378,4
-0.5013471,-19.947618,4
-0.93459237,9.689709,5
-18.419897,7.4552736,5
-4.0855093,12.101103,5
12.935549,5.8766246,5
11.972131,2.4763837,5
-3.8834155,9.102144,5
-21.370598,-4.489103,5
-12.46841,5.7356644,5
16.004612,9.568612,5
-20.618214,3.089653,5
-5.1768074,14.250528,5
-13.591721,4.5290847,5
-6.040583,11.890483,5
-8.343788,11.501067,5
2.8363283,12.095881,5
13.824363,16.090584,5
-0.5087812,11.333534,5
7.6072073,9.433918,5
